,country,nCFR,cCFR,total_deaths,cum_known_t,total_cases,nCFR_UQ,nCFR_LQ,cCFR_UQ,cCFR_LQ,underreporting_estimate,lower,upper,quantile25,quantile75
0,Afghanistan,0.03284072249589491,0.08391608391608392,60,715.0,1827,0.02466861,0.04101283,0.0635932,0.10423897,0.16683333333333333,0.18869941611358734,0.1630868053015513,0.07692229425308071,0.09090987357908713
1,Albania,0.04,0.0683371298405467,30,439.0,750,0.02597564,0.05402436,0.04473378,0.09194048,0.20486666666666664,0.2682536385478731,0.18490223865742542,0.06021442157649064,0.07645983810460276
2,Algeria,0.11975883803781857,0.2283176593521421,437,1914.0,3649,0.10922429,0.13029338,0.20951297,0.24712235,0.061318077803203655,0.05727569030271602,0.06879183573725688,0.22184633123759107,0.23478898746669313
3,Andorra,0.05481283422459893,0.07550644567219153,41,543.0,748,0.03850121,0.07112446,0.05328399,0.09772891,0.18541463414634146,0.2252083783418116,0.17395058175825198,0.06785894723506934,0.08315394410931372
4,Argentina,0.05031599416626155,0.09508497932935232,207,2177.0,4114,0.04363627,0.05699572,0.08276305,0.10740691,0.1472367149758454,0.14499224087053458,0.15827659620888823,0.09084458742591635,0.0993253712327883
5,Armenia,0.015527950310559006,0.028985507246376812,30,1035.0,1932,0.01001476,0.02104114,0.01876479,0.03920622,0.483,0.6394954462065396,0.43360465698524653,0.025468214730887333,0.03250279976186629
6,Australia,0.013060255268625705,0.016497937757780277,88,5334.0,6738,0.01034942,0.01577109,0.01307953,0.01991635,0.8485909090909091,0.9174642633269522,0.8535701856069757,0.015321547778285606,0.01767432773727495
7,Austria,0.03715554394671542,0.0481754296841927,569,11811.0,15314,0.03415988,0.04015121,0.04431357,0.05203729,0.2906045694200351,0.2707973842944343,0.3266888341040098,0.04684643490837971,0.04950442446000569
8,Azerbaijan,0.0128130460104834,0.022022022022022022,22,999.0,1717,0.00749333,0.01813277,0.01292166,0.03112238,0.6357272727272727,0.9286729672235652,0.546230717172192,0.018890281697965847,0.025153762346078197
9,Bahamas,0.1375,0.24444444444444444,11,45.0,80,0.06203701,0.21296299,0.11888045,0.37000844,0.057272727272727274,0.1009417440295345,0.04594489810010857,0.20123363669122668,0.2876552521976622
