,country,nCFR,cCFR,total_deaths,cum_known_t,total_cases,nCFR_UQ,nCFR_LQ,cCFR_UQ,cCFR_LQ,underreporting_estimate,lower,upper,quantile25,quantile75
0,Afghanistan,0.03284072249589491,0.05410279531109107,60,1109.0,1827,0.02466861,0.04101283,0.04078862,0.06741697,0.25876666666666664,0.2941996769490299,0.25216204241058154,0.049520939643496686,0.05868465097868546
1,Albania,0.04,0.05008347245409015,30,599.0,750,0.02597564,0.05402436,0.03261622,0.06755073,0.2795333333333333,0.36791511427307244,0.2516627291878295,0.04407240112686873,0.056094543781311575
2,Algeria,0.11975883803781857,0.16036697247706422,437,2725.0,3649,0.10922429,0.13029338,0.14658958,0.17414437,0.08729977116704805,0.08186120784365543,0.09762015505775963,0.15562570645866763,0.1651082384954608
3,Andorra,0.05481283422459893,0.059248554913294796,41,692.0,748,0.03850121,0.07112446,0.04165833,0.07683878,0.23629268292682928,0.2880576288248599,0.22124245364429307,0.05319516518741361,0.06530194463917599
4,Argentina,0.05031599416626155,0.06742671009771987,207,3070.0,4114,0.04363627,0.05699572,0.05855645,0.07629697,0.20763285024154587,0.20493045742182062,0.22281356475452455,0.06437415411225512,0.07047926608318462
5,Armenia,0.015527950310559006,0.02074688796680498,30,1446.0,1932,0.01001476,0.02104114,0.01340026,0.02809351,0.6748000000000001,0.8955048519359197,0.6051218898655996,0.01821866618328038,0.02327510975032958
6,Australia,0.013060255268625705,0.013571869216533004,88,6484.0,6738,0.01034942,0.01577109,0.01075557,0.01638817,1.0315454545454545,1.115701217098186,1.0373335927215008,0.012602684830845631,0.014541053602220376
7,Austria,0.03715554394671542,0.03925762384434939,569,14494.0,15314,0.03415988,0.04015121,0.03609593,0.04241931,0.3566186291739894,0.3324474282061861,0.4007608329077267,0.038169579229010486,0.04034566845968829
8,Azerbaijan,0.0128130460104834,0.015613910574875798,22,1409.0,1717,0.00749333,0.01813277,0.00914053,0.02208729,0.8966363636363636,1.312834225908796,0.7696733618070869,0.013386201696847382,0.017841619452904214
9,Bahamas,0.1375,0.171875,11,64.0,80,0.06203701,0.21296299,0.07944512,0.26430488,0.08145454545454545,0.15104767398963365,0.06431965898829003,0.1400667577161792,0.2036832422838208
10,Bangladesh,0.023986381925100587,0.04632396891811118,155,3346.0,6462,0.02025581,0.02771695,0.03920219,0.05344575,0.3022193548387097,0.3061053412259589,0.3180795657541529,0.04387312473765487,0.04877481309856749
11,Belarus,0.006471166448230668,0.011728028503562945,79,6736.0,12208,0.00504881,0.00789352,0.00915705,0.014299,1.1937215189873418,1.3104651577372612,1.1888940646358508,0.010843269357599735,0.012612787649526154
12,Belgium,0.15487810030844637,0.18761356365962892,7331,39075.0,47334,0.15161886,0.15813734,0.18374266,0.19148446,0.07462147046787614,0.06530873024098045,0.08878004826465445,0.1862814560496855,0.18894567126957235
13,Bolivia,0.052231718898385564,0.08527131782945736,55,645.0,1053,0.03879318,0.06567026,0.06371791,0.10682472,0.16418181818181818,0.18833008302289472,0.15913919275944846,0.07785406414518188,0.09268857151373285
14,Bosnia_and_Herzegovina,0.03904282115869018,0.04821150855365474,62,1286.0,1588,0.02951606,0.04856959,0.03650377,0.05991925,0.29038709677419355,0.32873321197602084,0.2837151578696598,0.04418247898054773,0.05224053812676175
15,Brazil,0.06979105806415714,0.11548731642189586,5017,43442.0,71886,0.06792847,0.07165364,0.11248185,0.11849279,0.12122543352601156,0.10668388149920366,0.1434686494229578,0.11445303285127988,0.11652159999251184
16,Bulgaria,0.04145818441744103,0.05805805805805806,58,999.0,1399,0.03101219,0.05190418,0.0435567,0.07255942,0.24113793103448272,0.27550296323839685,0.23429075065564758,0.05306765147270734,0.06304846464340878
17,Burkina_Faso,0.06583072100313479,0.07342657342657342,42,572.0,638,0.04658807,0.08507337,0.05205106,0.09480209,0.19066666666666665,0.2305428712940429,0.1793209403040045,0.06607053666130946,0.08078261019183738
18,Cameroon,0.032668881506090805,0.04983108108108108,59,1184.0,1806,0.0244702,0.04086756,0.03743676,0.0622254,0.28094915254237285,0.3205405747276953,0.27320031573274445,0.04556577631656351,0.05409638584559865
19,Chile,0.014410024364775497,0.019552281099461603,207,10587.0,14365,0.01246119,0.01635886,0.0169149,0.02218966,0.7160289855072464,0.7094336133932959,0.766122590335631,0.01864466992508038,0.020459892273842827
20,China,0.05524183940910174,0.0554207651579438,4637,83669.0,83940,0.05369638,0.0567873,0.05387045,0.05697108,0.2526128962691395,0.22275665054494126,0.29839698596218006,0.05488724784029289,0.05595428247559471
21,Colombia,0.04521768364430997,0.06546605013385252,269,4109.0,5949,0.0399377,0.05049767,0.0579032,0.0730289,0.21385130111524162,0.2072424407267258,0.23278454670581428,0.06286341735835632,0.06806868290934873
22,Cote_dIvoire,0.011834319526627219,0.015748031496062992,14,889.0,1183,0.00567203,0.01799661,0.00756407,0.02393199,0.889,1.586447177648444,0.7103462350014926,0.012931654701881115,0.018564408290244867
23,Croatia,0.030776746458231558,0.03412784398699892,63,1846.0,2047,0.02329484,0.03825866,0.02584563,0.04241006,0.41022222222222215,0.464295140021222,0.4008483003080981,0.0312776543569841,0.03697803361701374
24,Cuba,0.04036186499652053,0.053703703703703705,58,1080.0,1437,0.03018629,0.05053744,0.04025898,0.06714843,0.26068965517241377,0.29807014961566497,0.25317048355876354,0.04907692033507761,0.0583304870723298
25,Cyprus,0.023894862604540025,0.026845637583892617,20,745.0,837,0.01354854,0.03424118,0.01523923,0.03845204,0.5215,0.7874411742670755,0.4421091652446648,0.022851482290069315,0.03083979287771592
26,Czechia,0.03025053304904051,0.03360473723168024,227,6755.0,7504,0.0263753,0.03412577,0.02930727,0.03790221,0.4166079295154184,0.4094547864610236,0.4485226670112347,0.03212583206637356,0.03508364239698692
27,Democratic_Republic_of_the_Congo,0.06109979633401222,0.08426966292134831,30,356.0,491,0.03991438,0.08228521,0.05541324,0.11312609,0.1661333333333333,0.21655475098131732,0.15027479827696225,0.07433919335470004,0.09420013248799658
28,Denmark,0.049034007456784545,0.05808351177730193,434,7472.0,8851,0.04453535,0.05353267,0.05278002,0.06338701,0.2410322580645161,0.2273587825342752,0.268193758368306,0.056258399630389935,0.05990862392421392
29,Dominican_Republic,0.044576059850374064,0.05920099358310909,286,4831.0,6416,0.03952637,0.04962575,0.05254608,0.06585591,0.23648251748251747,0.22837098907678932,0.25813932926731376,0.05691081284070558,0.0614911743255126
30,Ecuador,0.03590568060021436,0.07751179140339948,871,11237.0,24258,0.03356435,0.03824701,0.07256769,0.08245589,0.18061768082663604,0.16536284508787372,0.20617083655843144,0.07581035992761527,0.07921322287918368
31,Egypt,0.07120190400634668,0.10652818991097923,359,3370.0,5042,0.06410362,0.07830018,0.09611207,0.11694431,0.13142061281337045,0.12485424165098953,0.14536834221393033,0.10294365260138831,0.11011272722057015
32,Estonia,0.030120481927710843,0.03333333333333333,50,1500.0,1660,0.02189836,0.0383426,0.02424927,0.0424174,0.41999999999999993,0.49486027997300397,0.4007789467885103,0.0302072002030117,0.036459466463654965
33,Finland,0.0419831223628692,0.051381358120320166,199,3873.0,4740,0.03627382,0.04769242,0.04442835,0.05833437,0.2724723618090452,0.2700978308873465,0.29142339335245354,0.04898859215281201,0.05377412408782832
34,France,0.18654156975598218,0.209991923387562,23660,112671.0,126835,0.18439777,0.18868537,0.20761366,0.21237018,0.06666923076923076,0.057799663682716974,0.08004890253418513,0.20917348434003843,0.21081036243508558
35,Germany,0.038790669939926796,0.0434152887134449,6115,140849.0,157641,0.03783747,0.03974387,0.04235101,0.04447956,0.3224670482420278,0.28334623502737943,0.38219798477994865,0.0430490354232381,0.0437815420036517
36,Ghana,0.009575104727707959,0.015503875968992248,16,1032.0,1671,0.00490591,0.0142443,0.00796624,0.02304152,0.9029999999999999,1.5063575841469834,0.7377986777459843,0.012909919678525695,0.0180978322594588
37,Greece,0.05367008681925809,0.059027777777777776,136,2304.0,2534,0.04489539,0.06244479,0.04940449,0.06865107,0.2371764705882353,0.24289290291741591,0.24762907712073187,0.05571607970487171,0.06233947585068384
38,Guatemala,0.02872531418312388,0.04790419161676647,16,334.0,557,0.0148538,0.04259683,0.02500069,0.0708077,0.29224999999999995,0.47998681039416724,0.2400868959008811,0.04002232274335993,0.05578606049017301
39,Guernsey,0.05263157894736842,0.05652173913043478,13,230.0,247,0.02478433,0.08047883,0.02667768,0.0863658,0.24769230769230766,0.4498142131442427,0.19683717977325174,0.04625139151014154,0.06679208675072802
40,Honduras,0.08943089430894309,0.12815533980582525,66,515.0,738,0.06884261,0.11001918,0.0992863,0.15702438,0.10924242424242424,0.12086260010427392,0.10826344105396962,0.11822052790075495,0.13809015171089553
41,Hungary,0.11001100110011001,0.14340344168260039,300,2092.0,2727,0.098267,0.121755,0.12838464,0.15842224,0.09762666666666665,0.09346912321674189,0.1073081654620043,0.1382349661570792,0.14857191720812157
42,India,0.032139665517681604,0.051325178389398575,1007,19620.0,31332,0.03018676,0.03409257,0.04823757,0.05441279,0.2727706057596822,0.24876876109743665,0.3124265516291197,0.050262627415382,0.05238772936341515
43,Indonesia,0.0812743139522658,0.11220786761503847,773,6889.0,9511,0.07578264,0.08676599,0.10475476,0.11966097,0.12476843467011642,0.11455326533653566,0.14206804009070215,0.10964300231199722,0.11477273291807971
44,Iran,0.063477490711138,0.07159826029750374,5877,82083.0,92584,0.06190695,0.06504803,0.0698345,0.07336203,0.19553547728432874,0.1718348493337589,0.23172751789595847,0.07099128928360497,0.07220523131140251
45,Iraq,0.047644829453167295,0.056265984654731455,88,1564.0,1847,0.03793029,0.05735936,0.04484569,0.06768628,0.2488181818181818,0.267584269985981,0.2511587138146314,0.05233587429225217,0.06019609501721074
46,Ireland,0.0583085978769432,0.0749773580023289,1159,15458.0,19877,0.05505103,0.06156616,0.07082578,0.07912893,0.1867230371009491,0.1694298201407101,0.21483924737219243,0.07354866160046482,0.07640605440419297
47,Isle_of_Man,0.06796116504854369,0.07446808510638298,21,282.0,309,0.03989932,0.09602301,0.04382699,0.10510918,0.188,0.27380390264095517,0.16173658125941254,0.06392344909698311,0.08501272111578284
48,Israel,0.013342741676823401,0.015278389892757456,208,13614.0,15589,0.01154161,0.01514387,0.01321799,0.01733879,0.916326923076923,0.9078533631088799,0.9804607934680096,0.014569338017492299,0.015987441768022612
49,Italy,0.13577330587330338,0.15273691556175856,27359,179125.0,201505,0.13427767,0.13726894,0.15107101,0.15440282,0.09166087941810738,0.07943284573264141,0.11010161313581251,0.15216362023333058,0.15331021089018654
50,Japan,0.02808258735200693,0.03575039058910027,389,10881.0,13852,0.02533137,0.03083381,0.03226181,0.03923897,0.3916041131105398,0.3719568173918568,0.4332427505231074,0.034549852120768616,0.03695092905743192
51,Jersey,0.07042253521126761,0.08097165991902834,20,247.0,284,0.04066565,0.10017943,0.04695195,0.11499137,0.1729,0.2555804312331519,0.14783718325107792,0.06926433016964374,0.09267898966841294
52,Kazakhstan,0.008161932745674175,0.0124750499001996,25,2004.0,3063,0.0049756,0.01134827,0.00761552,0.01733458,1.12224,1.5757299286536033,0.9806986071565085,0.010802721057952392,0.01414737874244681
53,Kenya,0.0374331550802139,0.04912280701754386,14,285.0,374,0.01819533,0.05667098,0.02403114,0.07421447,0.285,0.4993520291291063,0.22906583788881346,0.04048791864468726,0.05775769539040046
