,country,nCFR,cCFR,total_deaths,cum_known_t,total_cases,nCFR_UQ,nCFR_LQ,cCFR_UQ,cCFR_LQ,underreporting_estimate,lower,upper,quantile25,quantile75
0,Afghanistan,0.03284072249589491,0.06417112299465241,60,935.0,1827,0.02466861,0.04101283,0.04846351,0.07987874,0.21816666666666662,0.24760899899383326,0.2128225836206397,0.05876560161052031,0.06957664437878451
1,Albania,0.04,0.05628517823639775,30,533.0,750,0.02597564,0.05402436,0.03671919,0.07585117,0.24873333333333333,0.32680463836708307,0.2241231043241266,0.04955185969433403,0.06301849677846147
2,Algeria,0.11975883803781857,0.18330536912751677,437,2384.0,3649,0.10922429,0.13029338,0.1677739,0.19883683,0.07637528604118994,0.07152482996346154,0.0854972375535962,0.17796046804726326,0.18865027020777028
3,Andorra,0.05481283422459893,0.06446540880503145,41,636.0,748,0.03850121,0.07112446,0.0453795,0.08355132,0.21717073170731704,0.2644365808043551,0.20346776838286607,0.05789730372705501,0.07103351388300788
4,Argentina,0.05031599416626155,0.07680890538033396,207,2695.0,4114,0.04363627,0.05699572,0.06675534,0.08686248,0.18227053140096616,0.17976091192703217,0.19571166910450244,0.07334913273341127,0.08026867802725664
5,Armenia,0.015527950310559006,0.02356637863315004,30,1273.0,1932,0.01001476,0.02104114,0.01523337,0.03189938,0.5940666666666666,0.7877441212363214,0.5329256464506942,0.02069871016799564,0.026434047098304436
6,Australia,0.013060255268625705,0.014464168310322156,88,6084.0,6738,0.01034942,0.01577109,0.01146406,0.01746427,0.9679090909090908,1.0467492636919977,0.9734158333959418,0.013431730991174635,0.015496605629469678
7,Austria,0.03715554394671542,0.042029841926429314,569,13538.0,15314,0.03415988,0.04015121,0.03864977,0.04540991,0.3330966608084358,0.3104804873782771,0.37436760497723764,0.04086664574438006,0.04319303810847857
8,Azerbaijan,0.0128130460104834,0.01775625504439064,22,1239.0,1717,0.00749333,0.01813277,0.01040269,0.02510982,0.7884545454545454,1.1535474514698112,0.6770260388887092,0.015225646183890633,0.020286863904890644
9,Bahamas,0.1375,0.19642857142857142,11,56.0,80,0.06203701,0.21296299,0.09237221,0.30048494,0.07127272727272727,0.12990920585277474,0.056575215419323296,0.16061926468367493,0.23223787817346792
10,Bangladesh,0.023986381925100587,0.05875663381349507,155,2638.0,6462,0.02025581,0.02771695,0.04978255,0.06773072,0.23827096774193549,0.24104831831508083,0.2509939454116087,0.055668348782522255,0.06184491884446789
